year,seed_code,la_code,la_name,school_name,school_type,stage,measure,value,chart_label
2008/09,0,0,Scotland,All publicly funded schools,Secondary,All Stages,Attendance,91.2%,
2008/09,0,0,Scotland,All publicly funded schools,Secondary,All Stages,Authorised Absence,6.1%,
2008/09,0,0,Scotland,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,0,0,Scotland,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,2.6%,
2008/09,100,100,Aberdeen City,All publicly funded schools,Secondary,All Stages,Attendance,91.6%,
2008/09,100,100,Aberdeen City,All publicly funded schools,Secondary,All Stages,Authorised Absence,6.3%,
2008/09,100,100,Aberdeen City,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,100,100,Aberdeen City,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,1.9%,
2008/09,1002732,320,North Lanarkshire,Cumbernauld Academy,Secondary,All Stages,Attendance,c,c
2008/09,1002732,320,North Lanarkshire,Cumbernauld Academy,Secondary,All Stages,Authorised Absence,c,c
2008/09,1002732,320,North Lanarkshire,Cumbernauld Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,1002732,320,North Lanarkshire,Cumbernauld Academy,Secondary,All Stages,Unauthorised Absence,c,c
2008/09,1003232,250,Fife,Levenmouth Academy,Secondary,All Stages,Attendance,c,c
2008/09,1003232,250,Fife,Levenmouth Academy,Secondary,All Stages,Authorised Absence,c,c
2008/09,1003232,250,Fife,Levenmouth Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,1003232,250,Fife,Levenmouth Academy,Secondary,All Stages,Unauthorised Absence,c,c
2008/09,1004522,190,East Ayrshire,Kilmarnock Academy,Secondary,All Stages,Attendance,c,c
2008/09,1004522,190,East Ayrshire,Kilmarnock Academy,Secondary,All Stages,Authorised Absence,c,c
2008/09,1004522,190,East Ayrshire,Kilmarnock Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,1004522,190,East Ayrshire,Kilmarnock Academy,Secondary,All Stages,Unauthorised Absence,c,c
2008/09,1005014,190,East Ayrshire,Robert Burns Academy,Secondary,All Stages,Attendance,0%,
2008/09,1005014,190,East Ayrshire,Robert Burns Academy,Secondary,All Stages,Authorised Absence,0%,
2008/09,1005014,190,East Ayrshire,Robert Burns Academy,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,1005014,190,East Ayrshire,Robert Burns Academy,Secondary,All Stages,Unauthorised Absence,0%,
2008/09,110,110,Aberdeenshire,All publicly funded schools,Secondary,All Stages,Attendance,92.6%,
2008/09,110,110,Aberdeenshire,All publicly funded schools,Secondary,All Stages,Authorised Absence,5.5%,
2008/09,110,110,Aberdeenshire,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,110,110,Aberdeenshire,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,1.8%,
2008/09,120,120,Angus,All publicly funded schools,Secondary,All Stages,Attendance,92.8%,
2008/09,120,120,Angus,All publicly funded schools,Secondary,All Stages,Authorised Absence,5.1%,
2008/09,120,120,Angus,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,120,120,Angus,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,2%,
2008/09,130,130,Argyll & Bute,All publicly funded schools,Secondary,All Stages,Attendance,92.8%,
2008/09,130,130,Argyll & Bute,All publicly funded schools,Secondary,All Stages,Authorised Absence,5.1%,
2008/09,130,130,Argyll & Bute,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,130,130,Argyll & Bute,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,2%,
2008/09,150,150,Clackmannanshire,All publicly funded schools,Secondary,All Stages,Attendance,91.6%,
2008/09,150,150,Clackmannanshire,All publicly funded schools,Secondary,All Stages,Authorised Absence,5.1%,
2008/09,150,150,Clackmannanshire,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,150,150,Clackmannanshire,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,2.9%,
2008/09,170,170,Dumfries & Galloway,All publicly funded schools,Secondary,All Stages,Attendance,92.1%,
2008/09,170,170,Dumfries & Galloway,All publicly funded schools,Secondary,All Stages,Authorised Absence,5.6%,
2008/09,170,170,Dumfries & Galloway,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,170,170,Dumfries & Galloway,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,2.2%,
2008/09,180,180,Dundee City,All publicly funded schools,Secondary,All Stages,Attendance,89.7%,
2008/09,180,180,Dundee City,All publicly funded schools,Secondary,All Stages,Authorised Absence,6.2%,
2008/09,180,180,Dundee City,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,180,180,Dundee City,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,3.7%,
2008/09,190,190,East Ayrshire,All publicly funded schools,Secondary,All Stages,Attendance,90.6%,
2008/09,190,190,East Ayrshire,All publicly funded schools,Secondary,All Stages,Authorised Absence,7.4%,
2008/09,190,190,East Ayrshire,All publicly funded schools,Secondary,All Stages,Temporary Exclusions,z,z
2008/09,190,190,East Ayrshire,All publicly funded schools,Secondary,All Stages,Unauthorised Absence,1.9%,
2008/09,200,200,East Dunbartonshire,All publicly funded schools,Secondary,All Stages,Attendance,93.6%,
