year,seed_code,la_code,la_name,school_name,school_type,measure_category,measure,value,chart_label
2009,0,0,Scotland,All publicly funded schools,Secondary,trend,Average Class,0,
2009,0,0,Scotland,All publicly funded schools,Secondary,trend,Pupil Numbers,"302,921",
2009,0,0,Scotland,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,11.9,
2009,0,0,Scotland,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),"25,370.9",
2009,100,100,Aberdeen City,All publicly funded schools,Secondary,trend,Average Class,0,
2009,100,100,Aberdeen City,All publicly funded schools,Secondary,trend,Pupil Numbers,"9,408",
2009,100,100,Aberdeen City,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,11.9,
2009,100,100,Aberdeen City,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),792.3,
2009,1002732,320,North Lanarkshire,Cumbernauld Academy,Secondary,trend,Average Class,0,
2009,1002732,320,North Lanarkshire,Cumbernauld Academy,Secondary,trend,Pupil Numbers,0,
2009,1002732,320,North Lanarkshire,Cumbernauld Academy,Secondary,trend,Pupil Teacher Ratio,0,
2009,1002732,320,North Lanarkshire,Cumbernauld Academy,Secondary,trend,Teacher Numbers (FTE),0,
2009,1003232,250,Fife,Levenmouth Academy,Secondary,trend,Average Class,0,
2009,1003232,250,Fife,Levenmouth Academy,Secondary,trend,Pupil Numbers,0,
2009,1003232,250,Fife,Levenmouth Academy,Secondary,trend,Pupil Teacher Ratio,0,
2009,1003232,250,Fife,Levenmouth Academy,Secondary,trend,Teacher Numbers (FTE),0,
2009,1004166,100,Aberdeen City,Lochside Academy,Secondary,trend,Average Class,0,
2009,1004166,100,Aberdeen City,Lochside Academy,Secondary,trend,Pupil Numbers,0,
2009,1004166,100,Aberdeen City,Lochside Academy,Secondary,trend,Pupil Teacher Ratio,0,
2009,1004166,100,Aberdeen City,Lochside Academy,Secondary,trend,Teacher Numbers (FTE),0,
2009,1004522,190,East Ayrshire,Kilmarnock Academy,Secondary,trend,Average Class,0,
2009,1004522,190,East Ayrshire,Kilmarnock Academy,Secondary,trend,Pupil Numbers,0,
2009,1004522,190,East Ayrshire,Kilmarnock Academy,Secondary,trend,Pupil Teacher Ratio,0,
2009,1004522,190,East Ayrshire,Kilmarnock Academy,Secondary,trend,Teacher Numbers (FTE),0,
2009,1004620,170,Dumfries & Galloway,North West Community Campus,Secondary,trend,Average Class,0,
2009,1004620,170,Dumfries & Galloway,North West Community Campus,Secondary,trend,Pupil Numbers,0,
2009,1004620,170,Dumfries & Galloway,North West Community Campus,Secondary,trend,Pupil Teacher Ratio,0,
2009,1004620,170,Dumfries & Galloway,North West Community Campus,Secondary,trend,Teacher Numbers (FTE),0,
2009,110,110,Aberdeenshire,All publicly funded schools,Secondary,trend,Average Class,0,
2009,110,110,Aberdeenshire,All publicly funded schools,Secondary,trend,Pupil Numbers,"15,001",
2009,110,110,Aberdeenshire,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,11.4,
2009,110,110,Aberdeenshire,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),"1,313.3",
2009,120,120,Angus,All publicly funded schools,Secondary,trend,Average Class,0,
2009,120,120,Angus,All publicly funded schools,Secondary,trend,Pupil Numbers,"6,981",
2009,120,120,Angus,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,11.5,
2009,120,120,Angus,All publicly funded schools,Secondary,trend,Teacher Numbers (FTE),608.5,
2009,130,130,Argyll & Bute,All publicly funded schools,Secondary,trend,Average Class,0,
2009,130,130,Argyll & Bute,All publicly funded schools,Secondary,trend,Pupil Numbers,"5,479",
2009,130,130,Argyll & Bute,All publicly funded schools,Secondary,trend,Pupil Teacher Ratio,11.5,
